Place,2007,2008,2009,2010,2011
Canada,1.80,1.83,1.81,1.62,1.73
Newfoundland and Labrador,0.59,0.99,0.20,0.78,0.78
Prince Edward Island,0.00,1.43,0.00,0.00,0.69
Nova Scotia,1.39,1.28,1.60,2.22,2.33
New Brunswick,1.07,0.40,1.60,1.20,1.06
Quebec,1.17,1.19,1.12,1.06,1.32
Ontario,1.58,1.36,1.36,1.43,1.20
Manitoba,5.11,4.48,4.68,3.65,4.24
Saskatchewan,3.00,2.96,3.50,3.26,3.59
Alberta,2.51,3.06,2.59,2.07,2.88
British Columbia,2.04,2.67,2.65,1.83,1.90
Yukon,6.14,9.06,5.94,2.89,0.00
Northwest Territories,4.59,6.87,4.58,2.28,6.87
Nunavut,22.38,12.65,18.61,18.27,21.01
