"Size","skew"
43.3,-0.05174409
45.48,-0.05174409
50.87,-0.05174409
47.11,-0.015371621
52.08,-0.061382269
55.2,0.008366261
58.59,0.001242894
48.05,-0.068181818
41.4,-0.1
50.14,-0.043096441
46.7,-0.026790725
40.2,-0.1
48.93,0.005091089
55.34,-0.026626656
43.59,-0.26429774
40.91,-0.179289322
51.73,-0.006311328
44.42,-0.016830207
43.84,-0.035717565
46.27,-0.166666667
51.41,0.004164323
47.63,-0.008899559
53.1,-0.00052118
40,-0.125
49.6,-0.022071814
38.5,-0.092349516
38.9,-0.142857143
44.1,0.011529799
37,-0.048054134
37.7,0.008156794
39.3,0.01474161
